iso,id_centro,nombre_centro,geocoded_lat,geocoded_lon,geocode_source,geocode_precision,arcgis_score,geocode_query,geocode_distance_km,target_type,original_lat,original_lon,geocoded_in_adm1,geocoded_in_adm2,geo_adm1_check,geo_adm2_check,original_in_adm1,original_in_adm2,orig_adm1_check,orig_adm2_check,acceptance
COL,117653000647,LA PRESENTACIÓN,5.39669,-75.33156,arcgis,centroid,90.27,"KR 8 18 47 BR EL EDEN, Salamina, Caldas, Colombia",17.156795082396087,compare,5.405644261,-75.48628168,Caldas,Salamina,MATCH,MATCH,Caldas,Salamina,MATCH,MATCH,KEEP_ORIGINAL
COL,117653000663,INSTITUCIÓN EDUCATIVA PIO XII,5.406492152717,-75.487249139929,arcgis,street,97.78,"KR 7 7 58 BR CENTRO, Salamina, Caldas, Colombia",0.1426848478308726,compare,5.405644261,-75.48628168,Caldas,Salamina,MATCH,MATCH,Caldas,Salamina,MATCH,MATCH,KEEP_ORIGINAL
COL,117653000671,INSTITUCIÓN EDUCATIVA SARA OSPINA GRISALES,10.9263,-74.77168,arcgis,uncertain,81.25,"CL BARRIO HIPODROMO 3 75 BR HIPODROMO, Salamina, Caldas, Colombia",618.4663140279021,compare,5.409346661,-75.48567082,Atlántico,Soledad,MISMATCH,MISMATCH,Caldas,Salamina,MATCH,MATCH,REJECT
COL,117873000346,INSTITUCIÓN EDUCATIVA SANTA LUISA DE MARILLAC,5.047982579585,-75.514135973302,arcgis,street,97.89,"CL 5 3 55 BR VILLA 4, Villamaría, Caldas, Colombia",,fill,,,Caldas,Villamaría,MATCH,MATCH,,,NO_DATA,NO_DATA,ACCEPT
COL,118001000871,CONCENTRACIÓN ESCOLAR SIMÓN BOLIVAR,1.623692335349,-75.601496960634,arcgis,centroid,94.45,"AC CALLE 17 1B BR BARRIO SIMON BOLIVAR, Florencia, Caquetá, Colombia",0.5896292793518539,compare,1.620277777,-75.60555556,Caquetá,Florencia,MATCH,MATCH,Caquetá,Florencia,MATCH,MATCH,KEEP_ORIGINAL
COL,366001005027,JARDIN INFANTIL AÑOS BELLOS,4.823076783048,-75.731680399408,arcgis,uncertain,87.2,"CL 63 BIS 1 2 BR CIUDAD BOQUÍA MZ 1, Pereira, Risaralda, Colombia",11.362897804360074,compare,4.727222,-75.767222,Risaralda,Pereira,MATCH,MATCH,Risaralda,Pereira,MATCH,MATCH,FLAG
COL,366001005141,COLEGIO MILITAR GENERAL RAFAEL REYES,4.80566,-75.84813,arcgis,uncertain,82.0,"AV PRINCIPAL CERRITOS ENTRADA 16 VEREDA EL TIGRE 0 0 BR CERRITOS, Pereira, Risaralda, Colombia",12.508032938977815,compare,4.727222,-75.767222,Risaralda,Pereira,MATCH,MATCH,Risaralda,Pereira,MATCH,MATCH,FLAG
COL,366001005680,INSTITUTO PEDAGÓGICO RECREAR,4.8023631,-75.7284179,arcgis,uncertain,86.08,"CL 000 CS 6 BR PANORAMA II CS 6, Pereira, Risaralda, Colombia",9.396828793004765,compare,4.727222,-75.767222,Risaralda,Pereira,MATCH,MATCH,Risaralda,Pereira,MATCH,MATCH,FLAG
COL,366001005825,LICEO CAMPESTRE NUEVA GENERACION,4.83034,-75.75775,arcgis,uncertain,86.4,"C COMBIA FINC VILLA JOAN, Pereira, Risaralda, Colombia",11.5141355946722,compare,4.727222,-75.767222,Risaralda,Pereira,MATCH,MATCH,Risaralda,Pereira,MATCH,MATCH,FLAG
COL,366001006112,COLEGIO SAINT ANDREWS,4.80566,-75.84813,arcgis,centroid,90.75,"AV CERRITOS KM 10 BR CERRITOS, Pereira, Risaralda, Colombia",12.508032938977815,compare,4.727222,-75.767222,Risaralda,Pereira,MATCH,MATCH,Risaralda,Pereira,MATCH,MATCH,KEEP_ORIGINAL
COL,366001006518,HUELLITAS CENTRO EDUCATIVO,4.803643019313,-75.749106870847,arcgis,centroid,94.99,"KR 23 85 13 BR CORALES MZ 5, Pereira, Risaralda, Colombia",8.731503425209928,compare,4.727222,-75.767222,Risaralda,Pereira,MATCH,MATCH,Risaralda,Pereira,MATCH,MATCH,KEEP_ORIGINAL
COL,366001006541,LICEO CUBA,4.8053838,-75.6962994,arcgis,uncertain,81.68,"CL COMUNIDAD LOS ALMENDROS MZ 19 11 BR 2500 LOTES, Pereira, Risaralda, Colombia",11.717514834637907,compare,4.727222,-75.767222,Risaralda,Pereira,MATCH,MATCH,Risaralda,Pereira,MATCH,MATCH,FLAG
COL,366001006643,LICEO RAYITAS,4.82048072669,-75.720509230048,arcgis,centroid,90.45,"CL MANZANA 18 17 BR PARQUE INDUSTRIAL, Pereira, Risaralda, Colombia",11.589989259931993,compare,4.727222,-75.767222,Risaralda,Pereira,MATCH,MATCH,Risaralda,Pereira,MATCH,MATCH,KEEP_ORIGINAL
COL,368276001768,INSTITUTO COMUNITARIO MINCA,7.092784308579,-73.101481341164,arcgis,uncertain,86.88,"CL 107 39 12 BR ZAPAMANGA I ETAPA, Floridablanca, Santander, Colombia",,fill,,,Santander,Floridablanca,MATCH,MATCH,,,NO_DATA,NO_DATA,REJECT
COL,368276002632,COLEGIO PEDAGÓGICO EMMANUEL,7.07603199737,-73.086010940879,arcgis,street,97.92,"KR 9 E 27 58 BR LA CUMBRE, Floridablanca, Santander, Colombia",,fill,,,Santander,Floridablanca,MATCH,MATCH,,,NO_DATA,NO_DATA,ACCEPT
COL,368861800005,COLEGIO MONTESQUIEU,6.15003,-73.69998,arcgis,uncertain,85.78,"KR 1 ESTE 10 IMPAR BR PALMIRA, Vélez, Santander, Colombia",0.0,compare,6.15003,-73.69998,Santander,Vélez,MATCH,MATCH,Santander,Vélez,MATCH,MATCH,FLAG
