iso,id_centro,gps_lat,gps_lon,geocoded_lat,geocoded_lon,distance_km,arcgis_score,extent_area,precision,query,address_returned
HND,41000043,15.278667930089194,-88.77334457295657,15.51667,-88.06667,80.25,75.24,0.0004,street,"SAN JOSE DE LAS FLORES FLORIDA COPAN HONDURAS   FRENTE A LA IGLECIA CATOLICA, Florida, Copán, Honduras","San José de las Flores, Cortés"
HND,41800028,14.849589798880093,-88.71017157562319,14.796405140434,-88.70120047843,5.99,79.2,0.010816,street,"OCOTE SECO SAN JUAN DE OPOA COPAN  FRENTE A LAS PUERTAS CHACHAS, San Juán de Opoa, Copán, Honduras","San Juan de Opoa, Copán"
HND,40100159,14.762632075717727,-88.77663082482042,14.76968,-88.78041,0.88,82.0,0.007396,street,"BARRIO SANTA TERESA A LA PAR DE CRUZ ROJA HONDUREÑA  SANTA ROSA DE COPAN., Santa Rosa de Copán, Copán, Honduras","Santa Rosa de Copán, Copán"
HND,151300056,15.011804924475491,-86.74071153184445,15.075101706472,-86.699156579473,8.33,80.0,0.088804,street,"ALDEA EL PARAISO  DESVIO DE EL JENJIBRE  1 KM ADENTRO  MUNICIPIO DE LA UNION  DEPARTAMENTO DE OLANCHO, La Union, Olancho, Honduras","La Union, Olancho"
HND,180400103,15.298094992287917,-87.90160363101074,15.40277,-87.80793,15.37,80.0,0.003844,street,"EL PROGRESO YORO  ALDEA LA ONCE GUANCHIA EL BALSAMO, El Progreso, Yoro, Honduras","El Progreso, Yoro"
HND,100800019,13.87835576815361,-88.36725722569152,13.92452,-88.36675,5.13,80.24,2.25,street,"ALDEA EL SITIO  CASERIO AZACUALPA  MUNICIPIO DE MAGDALENA  DEPARTAMENTO DE INTIBUCÁ, Magdalena, Intibucá, Honduras","Magdalena, Intibucá"
HND,150300074,14.54167496890683,-85.8582161865842,14.84882,-85.89424,34.37,80.0,0.0025,street,"EL NUEVO PORVENIR DEL INCENDIO  DE LA COMUNIDAD DE LA CRUZ  SECTOR DE PONCAYA., Catacamas, Olancho, Honduras","Catacamas, Olancho"
HND,80100073,14.0718087551411,-87.32358978797255,14.07065,-87.32071,0.34,82.0,0.000196,street,"ALDEA LA CIENEGUITA CARRETERA A LEPATERIQUE  500 METROS ADELANTE DE MATEO, Distrito Central, Francisco Morazán, Honduras","Mateo, Distrito Central, Francisco Morazan"
HND,180400177,15.417244451567212,-87.78416341644844,15.40277,-87.80793,3.01,80.0,0.003844,street,"COL. LOS LAURELES ESQUINA O PUESTA AL HOGAR DE NIÑOS., El Progreso, Yoro, Honduras","El Progreso, Yoro"
HND,30400033,14.575037695177295,-87.47717213063422,14.74397,-87.37088,21.99,80.0,0.071824,street,"CASERÍO EL ARRAYÁN  CONTIGUO A LA IGLESIA CATÓLICA DE LA COMUNIDAD, Esquias, Comayagua, Honduras","Esquias, Comayagua"
HND,50100567,15.43149512040792,-88.01922068402249,15.524972589499,-87.963306025852,12.0,81.72,4e-06,street,"CHAMELECÓN  FRENTE AL PARQUE. 2 CALLE 2 AVENIDA. SAN PEDRO SULA  CORTES., San Pedro Sula, Cortés, Honduras","2 Calle, San Pedro Sula, Cortes"
HND,10700077,15.57221948569313,-87.5102433730538,15.7757659,-87.4555454,23.38,80.0,0.004356,street,"EL ZAPOTE FLORIDA CALLE PRINCIPAL FTE CAMPO DE FUTBOL, Tela, Atlántida, Honduras","Tela, Atlantida"
HND,81300012,13.95585557133445,-87.32388106160548,13.926774910466,-87.34411950118,3.9,80.0,0.043264,street,"COFRADIA DE GUERISNE  A 4 CASAS DEL TALLER P  ULPERIA, Ojojona, Francisco Morazán, Honduras","Ojojona, Francisco Morazan"
HND,131100006,14.845119439399744,-88.43778942296173,14.81369,-88.40851,4.7,80.0,0.013456,street,"SAN BARTOLO LA UNION LEMPIRA  A PASOS DEL DESVIO A LEPAERA, La Union, Lempira, Honduras","La Union, Lempira"
HND,162300019,14.693260664654366,-88.06887432173059,14.728786267018,-88.086556537618,4.38,79.2,0.030276,street,"BARRIO EL CENTRO  1/2 PULPERIA RIGO  CARGAMON  SAN PEDRO ZACAPA  SANTA BARBARA., San Pedro Zacapa, Santa Bárbara, Honduras","San Pedro Zacapa, Santa Barbara"
HND,70400100,13.788886202265749,-86.51156353856996,13.8660899,-86.5549345,9.78,82.0,0.000676,street,"LAS DIFICULTADES  SAN CARLOS MUNICIPIO DEL EL PARAISO;DEPARTAMENTO DE EL PARAISO., El Paraíso, El Paraíso, Honduras","El Paraíso, El Paraiso"
