iso,id_centro,gps_lat,gps_lon,geocoded_lat,geocoded_lon,distance_km,arcgis_score,query_precision,query,address_returned
PER,591255-0,-13.5042,-71.6551,-13.5042996,-71.6534569,0.18,93.65,street,"CALLE HUANCARANI S/N, PAUCARTAMBO, CUSCO, Peru","Huancarani, Paucartambo, Cusco"
PER,452599-0,-6.70284,-79.90352,-6.700324291142,-79.903749768596,0.28,97.61,street,"AVENIDA HUAMACHUCO 600, LAMBAYEQUE, LAMBAYEQUE, Peru","Avenida Huamachuco, Lambayeque, 14013"
PER,1110105-0,-7.04607114,-78.51755151,-7.05,-78.3,24.01,93.68,street,"PURUAY QUINUAMAYO, CAJAMARCA, CAJAMARCA, Peru","Quinuamayo, Encañada, Cajamarca"
PER,1750967-0,-5.38672,-79.4484,-5.2390946,-79.448361,16.42,90.77,street,"SHANGA, HUANCABAMBA, PIURA, Peru","Huancabamba, Piura"
PER,1566801-0,-12.7830336,-74.96904634,-12.784048590243,-74.972034038497,0.34,100.0,street,"JIRON HUAYNA CAPAC 198, HUANCAVELICA, HUANCAVELICA, Peru","Jirón Huayna Cápac 198, Huancavelica, 09001"
PER,566729-0,-5.90198709,-74.06752819,-5.0583295,-73.8499963,96.85,84.29,street,"PUERTO ANGEL, REQUENA, LORETO, Peru","Requena, Loreto"
PER,1770080-0,-16.44149,-71.55721,-16.441427584012,-71.557200165259,0.01,100.0,street,"AVENIDA ITALIA 603, AREQUIPA, AREQUIPA, Peru","Avenida Italia 603, Jacobo Hunter, Arequipa, 04011"
PER,805994-0,-8.48052084,-74.22221455,-8.18333,-73.76667,60.03,88.44,street,"RIO UCAYALI - RIO ABUJAO, CORONEL PORTILLO, UCAYALI, Peru","Abujao, Calleria, Coronel Portillo, Ucayali"
PER,208058-0,-12.07289,-77.12015,-12.073093097766,-77.120412254577,0.04,100.0,street,"PASAJE FELIX S/N MZ U, CALLAO, CALLAO, Peru","Pasaje Félix, Urbanización Los Rosales de Santa Rosa, La Perla, Callao, 07016"
PER,312835-0,-15.43258407,-71.23114845,-15.43157,-71.23007,0.16,97.78,street,"CAPILLA COLLPA, CAYLLOMA, AREQUIPA, Peru","Collpa Capilla, Callalli, Caylloma, Arequipa"
PER,320408-0,-12.02534,-76.98887,-12.025248097268,-76.988799822046,0.01,96.23,street,"JIRON HARAVICUS 301 MZ H LOTE 06, LIMA, LIMA, Peru","Jirón El Haravicu 301, San Juan de Lurigancho, Lima, 15427"
PER,1789114-0,-7.18086,-78.48759,-7.1572173,-78.5180582,4.27,84.62,street,"JIRON LA MOSQUETA S/N, CAJAMARCA, CAJAMARCA, Peru",Cajamarca
PER,347674-0,-6.17937686,-78.91123598,-6.180805,-78.9099145,0.22,93.94,street,"JIRON CALLAYUC, CUTERVO, CAJAMARCA, Peru","Callayuc, Cutervo, Cajamarca"
PER,769851-0,-15.3031,-73.7522,-15.29909,-73.74935,0.54,100.0,street,"TARCO, PARINACOCHAS, AYACUCHO, Peru","Tarco, Parinacochas, Ayacucho"
BOL,80710042.0,-17.141000747681,-68.15224456787098,-17.17235,-68.45374,32.22,80.0,street,"ENEQUELLA 50 MT. DE LA PLAZA, PRIMERA SECCIÓN (CORO CORO), La Paz, Bolivia",Coro Coro
BOL,81710033.0,-21.8799991607666,-63.65006256103516,-21.8852452,-63.6547774,0.76,86.4,street,"OJO DEL AGUA, PRIMERA SECCIÓN (YACUIBA), Tarija, Bolivia","Ojo Del Agua, Yacuiba"
BOL,80980225.0,-17.390431553143,-66.12664728125003,-17.4038383,-66.1702864,4.86,80.0,street,"SANTIVAÑEZ Nro 239, PRIMERA SECCIÓN (COCHABAMBA), Cochabamba, Bolivia",Cochabamba
BOL,80430028.0,-19.037900924682617,-64.91963195800781,-19.0315582,-64.9258999,0.97,87.45,street,"MOLLE MAYU, PRIMERA SECCIÓN (TARABUCO), Chuquisaca, Bolivia","Molle Mayu, Tarabuco"
