id_centro,nombre_centro,sector,raw_street,raw_adm2,raw_adm1,original_lat,original_lon,link_original,geocoded_lat,geocoded_lon,link_geocoded,geocode_source,geocode_precision,geocode_distance_km,acceptance,use_coordinate,geocode_confidence,review
50100300,JULIO REYES CABALLERO,Public,COL. LA PRADERA  27 CALLE  TERCER PASAJE DEL ANTIGUO LOCAL DE POLLOS DON QUIKE,San Pedro Sula,Cortés,15.478648353361448,-87.98470993608954,"https://www.google.com/maps?q=15.478648353361448,-87.98470993608954",15.50523,-88.02497,"https://www.google.com/maps?q=15.50523,-88.02497",arcgis,centroid,5.229493087555666,KEEP_ORIGINAL,original,original_ok,
180700177,DIGNA AMERICA  URBINA,Public,LA MURALLA  VALLER ARRIBA  OLANCHITO  YORO HONDURAS,Olanchito,Yoro,15.42131246600745,-86.97817214179727,"https://www.google.com/maps?q=15.42131246600745,-86.97817214179727",15.48231,-86.56916,"https://www.google.com/maps?q=15.48231,-86.56916",arcgis,centroid,44.35780444959968,KEEP_ORIGINAL,original,original_ok,
180700111,ROSARIO LETICIA SOTO DE NUÑEZ,Public,LAS DELICIAS FRENTE AL CAMPO DE FUTBOL. LAS DELICIAS FRENTE AL CAMPO DE FUTBOL. LAS DELICIAS FRENTE AL CAMPO DE FUTBOL.,Olanchito,Yoro,15.42131246600745,-86.97817214179727,"https://www.google.com/maps?q=15.42131246600745,-86.97817214179727",15.48231,-86.56916,"https://www.google.com/maps?q=15.48231,-86.56916",arcgis,centroid,44.35780444959968,KEEP_ORIGINAL,original,original_ok,
41500014,LAS AMERICAS,Public,EL BORBOLLON  SAN ANTONIO DE COPAN FRENTE AL CAMPO DE FUTBOL,San António,Copán,15.05626620421936,-88.91159401692148,"https://www.google.com/maps?q=15.05626620421936,-88.91159401692148",15.042885377146,-88.884360378411,"https://www.google.com/maps?q=15.042885377146,-88.884360378411",arcgis,street,3.2811241438910788,KEEP_ORIGINAL,original,original_ok,
150500108,C.E.B. ROMULO ERNESTO DURON,Public,KUKUMWAS DULCE NOMBRE DE CULMI  OLANCHO  FRENTE A CASA DE DANIEL OSEGUERA.,Dulce Nombre de Culmi,Olancho,15.170755871462925,-85.46192355261665,"https://www.google.com/maps?q=15.170755871462925,-85.46192355261665",15.08367,-85.56114,"https://www.google.com/maps?q=15.08367,-85.56114",arcgis,centroid,14.394252407653708,KEEP_ORIGINAL,original,original_ok,
90400009,MARCO AURELIO SOTO,Public,PALACIOS CENTRO  MUNICIPIO DE JUAN FCO. BULNES  DEPARTAMENTO DE GRACIAS A DIOS.,Juan Fco. Bulnes,Gracias a Dios,15.952766892069024,-78.93762733930326,"https://www.google.com/maps?q=15.952766892069024,-78.93762733930326",15.1836891,-84.357743,"https://www.google.com/maps?q=15.1836891,-84.357743",arcgis,centroid,586.8213203394612,REJECT,original,rejected,
90400025,JOSE ANTONIO VILLALTA BLANCO,Public,CALDERAS  BACALAR  MUNICIPIO DE JUAN FCO. BULNES  DEPARTAMENTO DE GRACIAS A DIOS.,Juan Fco. Bulnes,Gracias a Dios,15.931522915737013,-78.99493901189665,"https://www.google.com/maps?q=15.931522915737013,-78.99493901189665",15.1836891,-84.357743,"https://www.google.com/maps?q=15.1836891,-84.357743",arcgis,centroid,580.4356451333708,REJECT,original,rejected,
90400012,PRESENTACION CENTENO,Public,BATALLA  MUNICIPIO DE JUAN FCO. BULNES  DEPARTAMENTO DE GRACIAS A DIOS.FRENTE A LA LAGUNA BACALAR,Juan Fco. Bulnes,Gracias a Dios,15.965519929701175,-78.95604566463058,"https://www.google.com/maps?q=15.965519929701175,-78.95604566463058",15.95,-85.01667,"https://www.google.com/maps?q=15.95,-85.01667",arcgis,street,647.9207291395527,REJECT,original,rejected,
90300018,RUBEN MORALES WALTER,Public,BARRIO BUENA VISTA  WAKSMA  MUNICIPIO DE AHUAS  DEPARTAMENTO DE GRACIAS A DIOS,Ahuas,Gracias a Dios,15.446413290287468,-78.42722045757203,"https://www.google.com/maps?q=15.446413290287468,-78.42722045757203",15.1836891,-84.357743,"https://www.google.com/maps?q=15.1836891,-84.357743",arcgis,centroid,636.675957586349,REJECT,original,rejected,
90300015,RAMON VILLEDA MORALES,Public,BARRIO       KUPIA KUMI MUNICPIO DE AWAS DEPTO. DE GRACIAS A DIOS,Ahuas,Gracias a Dios,15.480651557736952,-78.35247724200053,"https://www.google.com/maps?q=15.480651557736952,-78.35247724200053",15.1836891,-84.357743,"https://www.google.com/maps?q=15.1836891,-84.357743",arcgis,centroid,644.8136182186927,REJECT,original,rejected,
50700008,GABRIEL AGUILAR,Public,LAS CRUCITAS FRENTE DE DON ATANACIO PINEDA CAMINO PRINCIPAL,San Antonio de Cortés,Cortés,15.066352133427786,-88.0642295930065,"https://www.google.com/maps?q=15.066352133427786,-88.0642295930065",15.121756990557,-88.020567851146,"https://www.google.com/maps?q=15.121756990557,-88.020567851146",arcgis,centroid,7.741255910590305,UNCERTAIN,none,uncertain,
130500169,ERIC MAURICIO RODRIGUEZ,Public,ALDEA BARRIO NUEVO  ERAYOCLA  FRENTE A CASA COMUNAL   EN EL CENTRO DE LA COMUNIDAD,Erandique,Lempira,14.449630563576047,-88.34691565116279,"https://www.google.com/maps?q=14.449630563576047,-88.34691565116279",14.2368,-88.46028,"https://www.google.com/maps?q=14.2368,-88.46028",arcgis,centroid,26.631036747268684,UNCERTAIN,none,uncertain,
50700030,CARLOS ORBIN MONTOYA,Public,PLANES DE ITALIA UNA CUADRA ABAJO DEL CAMPO DE FUTBOL,San Antonio de Cortés,Cortés,15.04461357945677,-88.04033581393432,"https://www.google.com/maps?q=15.04461357945677,-88.04033581393432",15.121756990557,-88.020567851146,"https://www.google.com/maps?q=15.121756990557,-88.020567851146",arcgis,centroid,8.836616109991244,UNCERTAIN,none,uncertain,
71500071,REPUBLICA DE HONDURAS,Public,LAS CAÑAS  EL  CORRALITO TEUPASENTI  EL PARAÍSO HONDURAS  C.A.,Teupasenti,El Paraíso,14.337910271463006,-86.4365714047746,"https://www.google.com/maps?q=14.337910271463006,-86.4365714047746",14.284327048046,-86.691511993975,"https://www.google.com/maps?q=14.284327048046,-86.691511993975",arcgis,centroid,28.107162054530924,UNCERTAIN,none,uncertain,
71900135,NOLVIA LIZZETH CARCAMO,Public,EL ZAPOTAL 2  TROJES EL PARAISO  CALLE DE LAS MESAS,Trojes,El Paraíso,14.170873269717443,-85.85966804700878,"https://www.google.com/maps?q=14.170873269717443,-85.85966804700878",14.061933703974,-85.854617806579,"https://www.google.com/maps?q=14.061933703974,-85.854617806579",arcgis,centroid,12.125763046630231,UNCERTAIN,none,uncertain,
