id_centro,nombre_centro,sector,raw_street,raw_adm2,raw_adm1,original_lat,original_lon,link_original,geocoded_lat,geocoded_lon,link_geocoded,geocode_source,geocode_precision,geocode_distance_km,acceptance,use_coordinate,geocode_confidence,review,nuevas coordenadas
2.54801E+11,SEDE MATA DE TILO BAJO,Public,VDA MATA DE TILO BAJO VI TEORAMA,Teorama,Norte de Santander,0,-74.33012778,,8.58916,-73.17972,"https://www.google.com/maps?q=8.58916,-73.17972",arcgis,street,,ACCEPT,geocoded,high,,
3.25296E+11,GIMNASIO SAGRADO CORAZON DE JESUS GACHANCIPA SEDE PRINCIPAL,Private,CL 2 7 98 BR CENTRO,Gachancipá,Cundinamarca,,,,4.990828615,-73.87570492,"https://www.google.com/maps?q=4.990828615407,-73.875704920999",arcgis,street,,ACCEPT,geocoded,high,,
2.54801E+11,SEDE BEJUCO LA BATEA,Public,VDA BEJUCO LA BATEA VI TEORAMA,Teorama,Norte de Santander,0,-73.75883872,,8.59674,-73.22737,"https://www.google.com/maps?q=8.59674,-73.22737",arcgis,street,,ACCEPT,geocoded,high,,
2.1343E+11,SEDE SANTA PABLA PABLA,Public,C SANTA PABLA,Magangué,Bolívar,,,,8.8617,-74.48488,"https://www.google.com/maps?q=8.8617,-74.48488",arcgis,street,,ACCEPT,geocoded,high,,
2.47058E+11,ESCUELA RURAL MIXTA LA HORQUETA,Public,VDA LA HORQUETA,Sabanas de San Ángel,Magdalena,0,0,,10.0194,-74.14821,"https://www.google.com/maps?q=10.0194,-74.14821",arcgis,street,,ACCEPT,geocoded,high,,
2.44848E+11,LAPUMANA,Public,COM INDIGENA WAYUU SIWOLU,Uribia,La Guajira,0,0,,11.715748,-72.2658724,"https://www.google.com/maps?q=11.715748,-72.2658724",arcgis,centroid,,ACCEPT_CENTROID,geocoded,centroid,,
2.44848E+11,MASHIPARELU,Public,COM MASHIPALERU,Uribia,La Guajira,0,0,,11.715748,-72.2658724,"https://www.google.com/maps?q=11.715748,-72.2658724",arcgis,centroid,,ACCEPT_CENTROID,geocoded,centroid,,
2.44002E+11,SEDE  ANAISHA,Public,COM ANAISHA KM 6 VIA VPAR MARG IZQ,Riohacha,La Guajira,,,,11.5517744,-72.9097538,"https://www.google.com/maps?q=11.5517744,-72.9097538",arcgis,centroid,,ACCEPT_CENTROID,geocoded,centroid,,
2.44848E+11,AMASIMARU,Public,VDA AMASIMARU KM 2 VIA POPORTI,Uribia,La Guajira,0,0,,11.715748,-72.2658724,"https://www.google.com/maps?q=11.715748,-72.2658724",arcgis,centroid,,ACCEPT_CENTROID,geocoded,centroid,,
2.0512E+11,CENTRO EDUCATIVO RURAL PEÑITAS,Public,VDA PEÑITAS,Cáceres,Antioquia,0,0,,7.674933763,-75.22730642,"https://www.google.com/maps?q=7.674933763055,-75.227306415164",arcgis,centroid,,ACCEPT_CENTROID,geocoded,centroid,,
2.0525E+11,CENTRO EDUCATIVO RURAL EL TESORO,Public,VDA EL TESORO,El Bagre,Antioquia,0,0,,7.81044,-74.92998,"https://www.google.com/maps?q=7.81044,-74.92998",arcgis,street,,ACCEPT_WITH_FLAG,geocoded,low,,
2.0512E+11,ESCUELA RURAL EL DIAMANTE,Public,VDA EL DIAMANTE,Cáceres,Antioquia,0,0,,5.71795,-75.12634,"https://www.google.com/maps?q=5.71795,-75.12634",arcgis,street,,ACCEPT_WITH_FLAG,geocoded,low,,
3.19699E+11,GRANDES SUEÑOS,Private,KR 10 11 19 BR CENTENARIO,Santander de Quilichao,Cauca,,,,3.00879,-76.4859,"https://www.google.com/maps?q=3.00879,-76.4859",arcgis,admin,,ACCEPT_WITH_FLAG,geocoded,low,,
2.0504E+11,CENTRO EDUCATIVO RURAL LA FLORIDA,Public,VDA VEREDA LA FLORIDA,Anorí,Antioquia,0,0,,6.23444,-74.9924,"https://www.google.com/maps?q=6.23444,-74.9924",arcgis,street,,ACCEPT_WITH_FLAG,geocoded,low,,
2.05197E+11,CENTRO EDUCATIVO RURAL PAILANIA SEDE SANTA RITA,Public,VDA VEREDA SANTA RITA,Cocorná,Antioquia,0,0,,5.61674,-75.91525,"https://www.google.com/maps?q=5.61674,-75.91525",arcgis,street,,ACCEPT_WITH_FLAG,geocoded,low,,
2.0579E+11,CENTRO EDUCATIVO RURAL VISTA HERMOSA,Public,VDA VISTAHERMOSA,Tarazá,Antioquia,7.48556,-75.4803,"https://www.google.com/maps?q=7.48556,-75.4803",6.14852,-75.26424,"https://www.google.com/maps?q=6.14852,-75.26424",arcgis,street,150.5736146,GEOCODER_WRONG,original,rejected,,
3.41013E+11,INSTITUCIÓN EDUCATIVA LA MERCED,Public,AC KILOMETRO 0 1 BR VIA GARZON,Agrado,Huila,2.258056,-75.7725,"https://www.google.com/maps?q=2.258056,-75.7725",1.85465,-76.04597,"https://www.google.com/maps?q=1.85465,-76.04597",arcgis,school_name,54.18122035,GEOCODER_WRONG,original,rejected,,
2.05756E+11,CENTRO EDUCATIVO RURAL MEDIA CUESTA,Public,VDA MEDIA CUESTA,Sonsón,Antioquia,5.76194,-75.0611,"https://www.google.com/maps?q=5.76194,-75.0611",5.6424985,-75.1730137,"https://www.google.com/maps?q=5.6424985,-75.1730137",photon,street,18.15827078,GEOCODER_WRONG,original,rejected,,
2.5033E+11,SAN ISIDRO,Public,CT VEREDA SAN ISIDRO,Mesetas,Meta,2.974444,-74.200556,"https://www.google.com/maps?q=2.974444,-74.200556",3.7322,-73.78826,"https://www.google.com/maps?q=3.7322,-73.78826",arcgis,street,95.88575507,GEOCODER_WRONG,original,rejected,,
3.1538E+11,INSTITUCIÓN EDUCATIVA LA CANDELARIA,Public,CL 3 1 45 BR CENTRO,La Capilla,Boyacá,5.09592792,-73.4434413,"https://www.google.com/maps?q=5.09592792,-73.4434413",5.575574857,-73.36674926,"https://www.google.com/maps?q=5.575574856779,-73.366749255842",arcgis,street,54.00594121,GEOCODER_WRONG,original,rejected,,
2.50568E+11,ESCUELA RURAL MURUJUY,Public,CP MURUJUY,Puerto Gaitán,Meta,4.53057,-72.31499,"https://www.google.com/maps?q=4.53057,-72.31499 ",4.005931525,-71.63109843,"https://www.google.com/maps?q=4.005931524814,-71.631098430182 ",arcgis,centroid,95.67670033,IMPROVEMENT,geocoded,high,no es claro,
2.68468E+11,ESCUELA RURAL LAGUNITAS SEDE A,Public,VDA LAGUNITAS,Molagavita,Santander,6.46972,-72.96778,"https://www.google.com/maps?q=6.46972,-72.96778 ",6.6576556,-72.812839,"https://www.google.com/maps?q=6.6576556,-72.812839 ",photon,street,27.0120844,IMPROVEMENT,geocoded,high,mejora pero hay coordenadas exactas,"6.673506, -72.809372"
2.27205E+11,INSTITUCION EDUCATIVA JESUS ANTONIO RIVAS,Public,CL SANTA RITA 23 0 BR NUEVO,Río Iró,Chocó,4.86667,-76.63694,"https://www.google.com/maps?q=4.86667,-76.63694 ",5.164303166,-76.49017341,"https://www.google.com/maps?q=5.16430316587,-76.490173409928 ",arcgis,school_name,36.87268832,IMPROVEMENT,geocoded,high,mejora pero hay coordenadas exactas,"5.128959, -76.618135"
